Sequence_ID			Domain_ID		Domain_Name		Start		End
BRCA2_RAT|O35923		PS50138		PS50138		984			1018
BRCA2_RAT|O35923		PS50138		PS50138		1197			1231
BRCA2_RAT|O35923		PS50138		PS50138		1405			1439
BRCA2_RAT|O35923		PS50138		PS50138		1503			1537
BRCA2_RAT|O35923		PS50138		PS50138		1939			1973
BRCA2_RAT|O35923		PS50138		PS50138		2019			2053
GRB1L_HUMAN|Q9C091		PS00141		PS00141		687			698
BCAR1_MOUSE|Q61140		PS50002		PS50002		3			65
MUC1_HUMAN|P15941		PS50024		PS50024		1039			1148
BRCA1_MOUSE|P48754		PS50089		PS50089		24			65
BRCA1_MOUSE|P48754		PS00518		PS00518		39			48
BRCA1_MOUSE|P48754		PS50172		PS50172		1585			1679
BRCA1_MOUSE|P48754		PS50172		PS50172		1698			1797
BIN2_HUMAN|Q9UBW5		PS51021		PS51021		28			244
BRCA1_RAT|O54952		PS50089		PS50089		24			65
BRCA1_RAT|O54952		PS00518		PS00518		39			48
BRCA1_RAT|O54952		PS50172		PS50172		1588			1682
BRCA1_RAT|O54952		PS50172		PS50172		1701			1800
BRCA2_MOUSE|P97929		PS50138		PS50138		981			1015
BRCA2_MOUSE|P97929		PS50138		PS50138		1192			1226
BRCA2_MOUSE|P97929		PS50138		PS50138		1394			1428
BRCA2_MOUSE|P97929		PS50138		PS50138		1491			1525
BRCA2_MOUSE|P97929		PS50138		PS50138		1924			1958
BRCA2_MOUSE|P97929		PS50138		PS50138		2004			2038
BRCA1_HUMAN|P38398		PS50089		PS50089		24			65
BRCA1_HUMAN|P38398		PS00518		PS00518		39			48
BRCA1_HUMAN|P38398		PS50172		PS50172		1642			1736
BRCA1_HUMAN|P38398		PS50172		PS50172		1756			1855
BRCA2_HUMAN|P51587		PS50138		PS50138		1002			1036
BRCA2_HUMAN|P51587		PS50138		PS50138		1212			1246
BRCA2_HUMAN|P51587		PS50138		PS50138		1421			1455
BRCA2_HUMAN|P51587		PS50138		PS50138		1517			1551
BRCA2_HUMAN|P51587		PS50138		PS50138		1664			1698
BRCA2_HUMAN|P51587		PS50138		PS50138		1837			1871
BRCA2_HUMAN|P51587		PS50138		PS50138		1971			2005
BRCA2_HUMAN|P51587		PS50138		PS50138		2051			2085
SYTL2_HUMAN|Q9HCH5		PS50916		PS50916		1			57
SYTL2_HUMAN|Q9HCH5		PS00012		PS00012		596			611
SYTL2_HUMAN|Q9HCH5		PS50004		PS50004		628			753
SYTL2_HUMAN|Q9HCH5		PS50004		PS50004		768			897
BRCA1_BOVIN|Q864U1		PS50089		PS50089		24			65
BRCA1_BOVIN|Q864U1		PS00518		PS00518		39			48
BRCA1_BOVIN|Q864U1		PS50172		PS50172		1642			1729
BRCA1_BOVIN|Q864U1		PS50172		PS50172		1749			1848
